"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"123","BRK1","Q8WUW1","ARHGEF3","ENSG00000163947"
"124","BSG","P35613","NPHS2","ENSG00000116218"
"125","BST1","Q10588","BST1","ENSG00000109743"
"126","BST2","Q10589","ISG15","ENSG00000187608"
"127","BTC","P35070","ARHGEF3","ENSG00000163947"
"128","BTN2A1","Q7KYR7","NPHS2","ENSG00000116218"
"129","BTN3A2","P78410","BTN3A2","ENSG00000186470"
"130","C19orf12","Q9NSK7","TNFSF10","ENSG00000121858"
"131","C1QA","P02745","C1QA","ENSG00000173372"
"132","C1QTNF1","Q9BXJ1","HGFAC","ENSG00000109758"
"133","C2","P06681","GCKR","ENSG00000084734"
"134","C2CD2L","O14523","KLKB1","ENSG00000164344"
"135","C4BPB","P20851","GSTM1","ENSG00000134184"
"136","CA1","P00915","TRIM58","ENSG00000162722"
"137","CA11","O75493","CELSR2","ENSG00000143126"
"138","CA12","O43570","NPHS2","ENSG00000116218"
"139","CA13","Q8N1Q1","ARHGEF3","ENSG00000163947"
"140","CA14","Q9ULX7","CIART","ENSG00000159208"
"141","CA2","P00918","AC100801.1","ENSG00000253154"
"142","CA3","P07451","TRIM58","ENSG00000162722"
"143","CA4","P22748","CCDC150","ENSG00000144395"
"144","CA5A","P35218","ZNF827","ENSG00000151612"
"145","CA6","P23280","CA6","ENSG00000131686"
"146","CA9","Q16790","HLA-DRB1","ENSG00000196126"
"147","CALB1","P05937",NA,NA
"148","CALB2","P22676","HYDIN","ENSG00000157423"
"149","CALCA","P01258","PAX8","ENSG00000125618"
"150","CALCOCO1","Q9P1Z2","ARHGEF3","ENSG00000163947"
"151","CAMKK1","Q8N5S9","AC004917.1","ENSG00000243797"
"152","CANT1","Q8WVQ1","NPHS2","ENSG00000116218"
"153","CAPG","P40121","CAPG","ENSG00000042493"
"154","CARHSP1","Q9Y2V2","PMM2","ENSG00000140650"
"155","CASP1","P29466","GIMAP7","ENSG00000179144"
"156","CASP10","Q92851","CASP10","ENSG00000003400"
"157","CASP2","P42575","ARHGEF3","ENSG00000163947"
"158","CASP3","P42574","PRIMPOL","ENSG00000164306"
