"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"470","EPHB6","O15197","NPHS2","ENSG00000116218"
"471","EPHX2","P34913","EPHX2","ENSG00000120915"
"472","EPO","P01588",NA,NA
"473","EPS8L2","Q9H6S3","HLA-DQA1","ENSG00000196735"
"474","ERBB2","P04626","MSL2","ENSG00000174579"
"475","ERBB3","P21860","GCKR","ENSG00000084734"
"476","ERBB4","Q15303","KDM4A","ENSG00000066135"
"477","ERBIN","Q96RT1","IRF1","ENSG00000125347"
"478","EREG","O14944","EREG","ENSG00000124882"
"479","ERP44","Q9BS26","GALNT2","ENSG00000143641"
"480","ESAM","Q96AP7","NPHS2","ENSG00000116218"
"481","ESM1","Q9NQ30","GCKR","ENSG00000084734"
"482","EZR","P15311","EZR","ENSG00000092820"
"483","F11R","Q9Y624","ARHGAP30","ENSG00000186517"
"484","F2R","P25116","PLCL2","ENSG00000154822"
"485","F3","P13726","SLC44A3-AS1","ENSG00000224081"
"486","F7","P08709","GCKR","ENSG00000084734"
"487","F9","P00740","GCKR","ENSG00000084734"
"488","FABP1","P07148","FABP1","ENSG00000163586"
"489","FABP2","P12104","ZRANB3","ENSG00000121988"
"490","FABP4","P15090","PPARG","ENSG00000132170"
"491","FABP5","Q01469","FABP5","ENSG00000164687"
"492","FABP6","P51161","FABP6","ENSG00000170231"
"493","FABP9","Q0Z7S8",NA,NA
"494","FADD","Q13158","AC004917.1","ENSG00000243797"
"495","FAM3B","P58499",NA,NA
"496","FAM3C","Q92520","AC074085.2","ENSG00000234985"
"497","FAP","Q12884","LEPR","ENSG00000116678"
"498","FAS","P25445",NA,NA
"499","FASLG","P48023",NA,NA
"500","FBP1","P09467","PCAT7","ENSG00000231806"
"501","FCAR","P24071","RUNX3","ENSG00000020633"
"502","FCER2","P06734","LINC01185","ENSG00000228414"
"503","FCGR2A","P12318","FCGR2A","ENSG00000143226"
"504","FCGR2B","P31994","FCGR2A","ENSG00000143226"
"505","FCGR3B","O75015","CCT3","ENSG00000163468"
"506","FCN2","Q15485","MASP2","ENSG00000009724"
"507","FCRL1","Q96LA6","FCRL1","ENSG00000163534"
"508","FCRL2","Q96LA5","RUNX3","ENSG00000020633"
"509","FCRL3","Q96P31","FCRL3","ENSG00000160856"
"510","FCRL5","Q96RD9","RUNX3","ENSG00000020633"
"511","FCRL6","Q6DN72","FCRL6","ENSG00000181036"
"512","FCRLB","Q6BAA4","RUNX3","ENSG00000020633"
"513","FEN1","P39748","NLRP12","ENSG00000142405"
"514","FES","P07332","FES","ENSG00000182511"
"515","FETUB","Q9UGM5","DHRS9","ENSG00000073737"
"516","FGF19","O95750","LIAS","ENSG00000121897"
"517","FGF2","P09038","LINC01221","ENSG00000235492"
"518","FGF21","Q9NSA1","GCKR","ENSG00000084734"
"519","FGF23","Q9GZV9","SLC40A1","ENSG00000138449"
"520","FGF5","P12034",NA,NA
"521","FGFBP1","Q14512","CELSR2","ENSG00000143126"
"522","FGFR2","P21802",NA,NA
"523","FGR","P09769","FGR","ENSG00000000938"
"524","FHIT","P49789","ARHGEF3","ENSG00000163947"
"525","FIS1","Q9Y3D6","ARHGEF3","ENSG00000163947"
"526","FKBP1B","P68106","WDCP","ENSG00000163026"
"527","FKBP4","Q02790","ARHGEF3","ENSG00000163947"
"528","FKBP5","Q13451","ARHGEF3","ENSG00000163947"
"529","FKBP7","Q9Y680","FKBP7","ENSG00000079150"
"530","FLI1","Q01543","ARHGEF3","ENSG00000163947"
"531","FLRT2","O43155","ADGRL2","ENSG00000117114"
"532","FLT1","P17948","IQCJ-SCHIP1","ENSG00000283154"
"533","FLT3","P36888","TERT","ENSG00000164362"
"534","FLT3LG","P49771","SPRED2","ENSG00000198369"
"535","FLT4","P35916","ADGRL4","ENSG00000162618"
"536","FOLR1","P15328","THBS3","ENSG00000169231"
"537","FOLR2","P14207","CSF1","ENSG00000184371"
"538","FOLR3","P41439","CSF1","ENSG00000184371"
"539","FOXO1","Q12778","AC004917.1","ENSG00000243797"
"540","FOXO3","O43524","HLA-DQA1","ENSG00000196735"
"541","FRZB","Q92765","FRZB","ENSG00000162998"
"542","FST","P19883","GCKR","ENSG00000084734"
"543","FSTL3","O95633","PDILT","ENSG00000169340"
"544","FUCA1","P04066","FUCA1","ENSG00000179163"
"545","FURIN","P09958","GCKR","ENSG00000084734"
"546","FUS","P35637","ARHGEF3","ENSG00000163947"
"547","FUT3_FUT5","P21217,Q11128","ADH4","ENSG00000198099"
"548","FUT8","Q9BYC5","TBC1D5","ENSG00000131374"
"549","FXN","Q16595","ARHGEF3","ENSG00000163947"
"550","FXYD5","Q96DB9","ARHGEF3","ENSG00000163947"
"551","FYB1","O15117","ARHGEF3","ENSG00000163947"
"552","GAL","P22466",NA,NA
"553","GALNT10","Q86SR1",NA,"ENSG00000228541"
"554","GALNT2","Q10471","GALNT2","ENSG00000143641"
"555","GALNT3","Q14435","TTC21B","ENSG00000123607"
"556","GALNT7","Q86SF2","SLC39A8","ENSG00000138821"
"557","GAS6","Q14393","IAH1","ENSG00000134330"
"558","GBP2","P32456",NA,NA
"559","GBP4","Q96PP9","GBP4","ENSG00000162654"
"560","GCG","P01275","GCKR","ENSG00000084734"
"561","GCNT1","Q02742","ACOXL","ENSG00000153093"
"562","GDF15","Q99988","GDF15","ENSG00000130513"
"563","GDF2","Q9UK05","BMP10","ENSG00000163217"
"564","GDNF","P39905","GDNF","ENSG00000168621"
"565","GFAP","P14136",NA,NA
"566","GFER","P55789","TBL3","ENSG00000183751"
"567","GFRA1","P56159","ORM1","ENSG00000229314"
"568","GFRA2","O00451","SLC39A8","ENSG00000138821"
"569","GFRA3","O60609","FGGY","ENSG00000172456"
"570","GGH","Q92820","ARID1A","ENSG00000117713"
"571","GGT1","P19440",NA,NA
"572","GGT5","P36269","ST3GAL4","ENSG00000110080"
"573","GHRL","Q9UBU3",NA,NA
"574","GKN1","Q9NS71","MTX1","ENSG00000173171"
"575","GLB1","P16278","ARID1A","ENSG00000117713"
"576","GLO1","Q04760","GLO1","ENSG00000124767"
"577","GLOD4","Q9HC38","ARHGEF3","ENSG00000163947"
"578","GLRX","P35754","RHOBTB3","ENSG00000164292"
"579","GLT8D2","Q9H1C3","GLT8D2","ENSG00000120820"
"580","GMPR","P36959","GMPR","ENSG00000137198"
"581","GNE","Q9Y223","ARHGEF3","ENSG00000163947"
"582","GNLY","P22749","CLIC4","ENSG00000169504"
"583","GOLM2","Q6P4E1","LINC01221","ENSG00000235492"
"584","GOPC","Q9HD26","ARHGEF3","ENSG00000163947"
"585","GP1BA","P07359","TENT5C","ENSG00000183508"
"586","GP2","P55259","FUT9","ENSG00000172461"
"587","GP6","Q9HCN6","ARHGEF3","ENSG00000163947"
"588","GPA33","Q99795","GPA33","ENSG00000143167"
"589","GPC1","P35052","MTF2","ENSG00000143033"
"590","GPC5","P78333","LINC01221","ENSG00000235492"
"591","GPNMB","Q14956","SNX17","ENSG00000115234"
"592","GPR37","O15354","GCKR","ENSG00000084734"
"593","GRAP2","O75791","ARHGEF3","ENSG00000163947"
"594","GRK5","P34947","GRK5","ENSG00000198873"
"595","GRN","P28799","CELSR2","ENSG00000143126"
"596","GRPEL1","Q9HAV7",NA,NA
"597","GSAP","A4D1B5","PYROXD2","ENSG00000119943"
"598","GSTA1","P08263",NA,NA
"599","GSTA3","Q16772","GSTA1","ENSG00000243955"
"600","GSTP1","P09211","GSTP1","ENSG00000084207"
"601","GUCA2A","Q02747","GUCA2A","ENSG00000197273"
"602","GUSB","P08236","USP34","ENSG00000115464"
"603","GYS1","P13807","AC004917.1","ENSG00000243797"
"604","GZMA","P12544","CKAP2L","ENSG00000169607"
"605","GZMB","P10144",NA,"ENSG00000287356"
"606","GZMH","P20718",NA,NA
"607","HAGH","Q16775","HAGH","ENSG00000063854"
"608","HAO1","Q9UJM8",NA,NA
"609","HARS1","P12081","ARHGEF3","ENSG00000163947"
"610","HAVCR1","Q96D42","EBNA1BP2","ENSG00000117395"
"611","HAVCR2","Q8TDQ0","NPHS2","ENSG00000116218"
"612","HBEGF","Q99075","TRIM58","ENSG00000162722"
"613","HBQ1","P09105","HBS1L","ENSG00000112339"
"614","HCLS1","P14317","ARHGEF3","ENSG00000163947"
"615","HDGF","P51858","MRPL24","ENSG00000143314"
"616","HEBP1","Q9NRV9","HEBP1","ENSG00000013583"
"617","HEXIM1","O94992","ARHGEF3","ENSG00000163947"
"618","HGF","P14210","HGFAC","ENSG00000109758"
"619","HGS","O14964","TRIM58","ENSG00000162722"
"620","HLA-DRA","P01903","HLA-DRB1","ENSG00000196126"
"621","HLA-E","P13747","ERAP2","ENSG00000164308"
"622","HMBS","P08397","VPS11","ENSG00000160695"
"623","HMOX1","P09601","DOCK7","ENSG00000116641"
"624","HMOX2","P30519","ZNF827","ENSG00000151612"
"625","HNMT","P50135","HNMT","ENSG00000150540"
"626","HNRNPK","P61978","ZFPM2","ENSG00000169946"
"627","HPCAL1","P37235","HPCAL1","ENSG00000115756"
"628","HPGDS","O60760","CFH","ENSG00000000971"
"629","HS3ST3B1","Q9Y662","CELSR2","ENSG00000143126"
"630","HS6ST1","O60243","CELSR2","ENSG00000143126"
"631","HSD11B1","P28845","EDEM3","ENSG00000116406"
"632","HSPA1A","P0DMV8",NA,NA
"633","HSPB1","P04792","ARHGEF3","ENSG00000163947"
"634","HSPB6","O14558","TTN","ENSG00000155657"
"635","HSPG2","P98160","LDLRAD2","ENSG00000187942"
"636","HTRA2","O43464","ZFPM2","ENSG00000169946"
"637","HYAL1","Q12794","QSOX1","ENSG00000116260"
"638","HYOU1","Q9Y4L1","RPL21P24","ENSG00000229554"
"639","ICA1","Q05084","ARHGEF3","ENSG00000163947"
"640","ICAM1","P05362","ABO","ENSG00000175164"
"641","ICAM2","P13598","ST3GAL3","ENSG00000126091"
"642","ICAM3","P32942","RUNX3","ENSG00000020633"
"643","ICAM4","Q14773","RHD","ENSG00000187010"
"644","ICAM5","Q9UMF0","ST6GAL1","ENSG00000073849"
"645","ICOSLG","O75144","CPN1","ENSG00000120054"
"646","IDI2","Q9BXS1","IDI2","ENSG00000148377"
"647","IDS","P22304","ABO","ENSG00000175164"
"648","IDUA","P35475","SEC16B","ENSG00000120341"
"649","IFNG","P01579","IL12A-AS1","ENSG00000244040"
"650","IFNGR1","P15260","NPHS2","ENSG00000116218"
"651","IFNGR2","P38484","CELSR2","ENSG00000143126"
"652","IFNL1","Q8IU54","IFIH1","ENSG00000115267"
"653","IFNLR1","Q8IU57","IFNLR1","ENSG00000185436"
"654","IGF1R","P08069","HLA-DRB9","ENSG00000196301"
"655","IGF2R","P11717","TMEM87B","ENSG00000153214"
"656","IGFBP1","P08833","CELSR2","ENSG00000143126"
"657","IGFBP2","P18065","GCKR","ENSG00000084734"
"658","IGFBP3","P17936","SORCS2","ENSG00000184985"
"659","IGFBP4","P22692","SHROOM3","ENSG00000138771"
"660","IGFBP6","P24592","SHROOM3","ENSG00000138771"
"661","IGFBP7","Q16270","IGFBP7","ENSG00000163453"
"662","IGFBPL1","Q8WX77","GCKR","ENSG00000084734"
"663","IGSF3","O75054","IGSF3","ENSG00000143061"
"664","IGSF8","Q969P0","IGSF8","ENSG00000162729"
"665","IKBKG","Q9Y6K9","ARHGEF3","ENSG00000163947"
"666","IKZF2","Q9UKS7",NA,NA
"667","IL10","P22301","PTPN22","ENSG00000134242"
"668","IL10RA","Q13651","IL10RA","ENSG00000110324"
"669","IL10RB","Q08334","RPL21P24","ENSG00000229554"
"670","IL11","P20809","RUNX3","ENSG00000020633"
"671","IL12A_IL12B","P29459,P29460","SERTAD2","ENSG00000179833"
"672","IL12A_IL12B","P29460","AC008691.1","ENSG00000249738"
"673","IL12B","P29460","GFI1","ENSG00000162676"
"674","IL12RB1","P42701","HLA-C","ENSG00000204525"
"675","IL13","P35225","ADAM6","ENSG00000271968"
"676","IL13RA1","P78552","FOLR3","ENSG00000110203"
"677","IL15","P40933","JAK1","ENSG00000162434"
"678","IL15RA","Q13261","ERAP2","ENSG00000164308"
"679","IL16","Q14005","NINJ1","ENSG00000131669"
"680","IL17C","Q9P0M4","IL17RE","ENSG00000163701"
"681","IL17D","Q8TAD2","IFT88","ENSG00000032742"
"682","IL17F","Q96PD4","IL17F","ENSG00000112116"
"683","IL17RA","Q96F46","ST3GAL4","ENSG00000110080"
"684","IL17RB","Q9NRM6","GCKR","ENSG00000084734"
"685","IL18","Q14116","NLRC4","ENSG00000091106"
"686","IL18BP","O95998","NPHS2","ENSG00000116218"
"687","IL18R1","Q13478","FCRLA","ENSG00000132185"
"688","IL18RAP","O95256",NA,NA
"689","IL19","Q9UHD0","IL19","ENSG00000142224"
"690","IL1A","P01583",NA,NA
"691","IL1B","P01584","ZFPM2","ENSG00000169946"
"692","IL1R1","P14778","MTARC1","ENSG00000286231"
"693","IL1R2","P27930",NA,NA
"694","IL1RAP","Q9NPH3","IL1RAP","ENSG00000196083"
"695","IL1RL1","Q01638","SNORA70B","ENSG00000206937"
"696","IL1RL2","Q9HB29","GALNT2","ENSG00000143641"
"697","IL1RN","P18510","IL1RN","ENSG00000136689"
"698","IL20RA","Q9UHF4","IL20RA","ENSG00000016402"
"699","IL22RA1","Q8N6P7","IL22RA1","ENSG00000142677"
"700","IL2RA","P01589","NPHS2","ENSG00000116218"
"701","IL32","P24001","HLA-DQA1","ENSG00000196735"
"702","IL33","O95760",NA,NA
"703","IL34","Q6ZMJ4","IL34","ENSG00000157368"
"704","IL3RA","P26951",NA,NA
"705","IL4R","P24394",NA,NA
"706","IL5RA","Q01344","RUNX3","ENSG00000020633"
"707","IL6","P05231","IL1RN","ENSG00000136689"
"708","IL6R","P08887","IL6R","ENSG00000160712"
"709","IL6ST","P40189","ST3GAL3","ENSG00000126091"
"710","IL7","P13232","PDIA5","ENSG00000065485"
"711","IL7R","P16871","ARID1A","ENSG00000117713"
"712","ILKAP","Q9H0C8","ZFPM2","ENSG00000169946"
"713","IMPA1","P29218","AC004917.1","ENSG00000243797"
"714","ING1","Q9UK53","ZFPM2","ENSG00000169946"
"715","INHBC","P55103",NA,NA
"716","INPP1","P49441","HIBCH","ENSG00000198130"
"717","IPCEF1","Q8WWN9","ARHGEF3","ENSG00000163947"
"718","IQGAP2","Q13576","IQGAP2","ENSG00000145703"
"719","IRAG2","Q12912","HABP2","ENSG00000148702"
"720","IRAK1","P51617","ARHGEF3","ENSG00000163947"
"721","IRAK4","Q9NWZ3","NRBF2","ENSG00000148572"
"722","ISLR2","Q6UXK2",NA,NA
"723","ISM1","B1AKI9","FCGR2B","ENSG00000072694"
"724","ITGA11","Q9UKX5","GCKR","ENSG00000084734"
"725","ITGA5","P08648","FCGR2B","ENSG00000072694"
"726","ITGA6","P23229","ITGA6","ENSG00000091409"
"727","ITGAM","P11215","MGAT5","ENSG00000152127"
"728","ITGAV","P06756","AL590385.2","ENSG00000273112"
"729","ITGB1","P05556","EVI5","ENSG00000067208"
"730","ITGB1BP2","Q9UKP3","SLC22A5","ENSG00000197375"
"731","ITGB2","P05107","FCRLA","ENSG00000132185"
"732","ITGB5","P18084","FAM171B","ENSG00000144369"
"733","ITGB6","P18564","ITGB6","ENSG00000115221"
"734","ITGB7","P26010","ST3GAL3","ENSG00000126091"
"735","ITIH3","Q06033","GCKR","ENSG00000084734"
"736","ITM2A","O43736","HLA-C","ENSG00000204525"
"737","JAM2","P57087","TRIM58","ENSG00000162722"
"738","JCHAIN","P01591","RUNX3","ENSG00000020633"
"739","KAZALD1","Q96I82","NT5DC2","ENSG00000168268"
"740","KDR","P35968",NA,"ENSG00000228541"
"741","KEL","P23276","RHCE","ENSG00000188672"
"742","KIFBP","Q96EK5","ARHGEF3","ENSG00000163947"
"743","KIR2DL3","P43628","HLA-C","ENSG00000204525"
"744","KIR3DL1","P43629","HLA-A","ENSG00000206503"
"745","KIRREL2","Q6UWL6","RREB1","ENSG00000124782"
"746","KIT","P10721","RPAP2","ENSG00000122484"
"747","KITLG","P21583","GALNT2","ENSG00000143641"
"748","KLB","Q86Z14","ARID1A","ENSG00000117713"
"749","KLK1","P06870","TBC1D3P6","ENSG00000224966"
"750","KLK10","O43240","HSD3BP3","ENSG00000249798"
"751","KLK11","Q9UBX7","GAL3ST2","ENSG00000154252"
"752","KLK12","Q9UKR0","GMDS","ENSG00000112699"
"753","KLK13","Q9UKR3","PPP1R2P5","ENSG00000229360"
"754","KLK14","Q9P0G3","FLG","ENSG00000143631"
"755","KLK4","Q9Y5K2",NA,NA
"756","KLK6","Q92876","UMOD","ENSG00000169344"
"757","KLK8","O60259","FLG","ENSG00000143631"
"758","KLRB1","Q12918","EXO1","ENSG00000174371"
"759","KLRD1","Q13241","ACOXL","ENSG00000153093"
"760","KRT18","P05783","LINC02068","ENSG00000223387"
"761","KRT19","P08727",NA,NA
"762","KRT5","P13647","MCL1","ENSG00000143384"
"763","KYAT1","Q16773","THAP3","ENSG00000041988"
"764","KYNU","Q16719","KYNU","ENSG00000115919"
"765","L1CAM","P32004","ST3GAL3","ENSG00000126091"
"766","LACTB2","Q53H82","ARHGEF3","ENSG00000163947"
"767","LAG3","P18627","CELSR2","ENSG00000143126"
"768","LAIR1","Q6GTX8","CSF1","ENSG00000184371"
"769","LAIR2","Q6ISS4","SETD2","ENSG00000181555"
"770","LAMA4","Q16363","LAMC1","ENSG00000135862"
"771","LAMP2","P13473","ADAR","ENSG00000160710"
"772","LAMP3","Q9UQV4","MCCC1","ENSG00000078070"
"773","LAT","O43561","SERPINE2","ENSG00000135919"
"774","LAT2","Q9GZY6","ARHGEF3","ENSG00000163947"
"775","LAYN","Q6UX15","NPHS2","ENSG00000116218"
"776","LBP","P18428","ABCA8","ENSG00000141338"
"777","LBR","Q14739","ARHGEF3","ENSG00000163947"
"778","LCN2","P80188","CSF3R","ENSG00000119535"
"779","LDLR","P01130","DOCK7","ENSG00000116641"
"780","LEFTY2","O00292","LEFTY1","ENSG00000243709"
"781","LEP","P41159","FTO","ENSG00000140718"
"782","LEPR","P48357","LEPR","ENSG00000116678"
"783","LGALS1","P09382","NLRP12","ENSG00000142405"
"784","LGALS3","P17931",NA,"ENSG00000232361"
"785","LGALS4","P56470","AC015687.1","ENSG00000285579"
"786","LGALS7_LGALS7B","P47929","FLG","ENSG00000143631"
"787","LGALS8","O00214","HEATR1","ENSG00000119285"
"788","LGALS9","O00182","SH2B3","ENSG00000111252"
"789","LGMN","Q99538","SLC41A1","ENSG00000133065"
"790","LHB","P01229","FAM30A","ENSG00000226777"
"791","LHPP","Q9H008","LHPP","ENSG00000107902"
"792","LIFR","P42702",NA,NA
"793","LILRA2","Q8N149","FCER1G","ENSG00000158869"
"794","LILRA5","A6NI73",NA,"ENSG00000288880"
"795","LILRB1","Q8NHL6","MGAT5","ENSG00000152127"
"796","LILRB2","Q8N423","CFH","ENSG00000000971"
"797","LILRB4","Q8NHJ6","HLA-DRB1","ENSG00000196126"
"798","LILRB5","O75023",NA,NA
"799","LPCAT2","Q7L5N7","LPCAT2","ENSG00000087253"
"800","LPL","P06858","GCKR","ENSG00000084734"
"801","LPO","P22079",NA,NA
"802","LRIG1","Q96JA1","GALNT2","ENSG00000143641"
"803","LRP1","Q07954","STAB1","ENSG00000010327"
"804","LRP11","Q86VZ4","NPHS2","ENSG00000116218"
"805","LRPAP1","P30533","LRPAP1","ENSG00000163956"
"806","LRRC25","Q8N386","GCKR","ENSG00000084734"
"807","LRRN1","Q6UXK5","SUMF1","ENSG00000144455"
"808","LSP1","P33241","LSP1","ENSG00000130592"
"809","LTA","P01374","ACOXL","ENSG00000153093"
"810","LTA4H","P09960","LTA4H","ENSG00000111144"
"811","LTBP2","Q14767","ATP13A2","ENSG00000159363"
"812","LTBP3","Q9NS15","ASB3","ENSG00000115239"
"813","LTBR","P36941","NPHS2","ENSG00000116218"
"814","LXN","Q9BS40",NA,NA
"815","LY6D","Q14210","FLG","ENSG00000143631"
"816","LY75","O60449","LY75","ENSG00000054219"
"817","LY9","Q9HBG7","RUNX3","ENSG00000020633"
"818","LY96","Q9Y6Y9","RUNX3","ENSG00000020633"
"819","LYAR","Q9NX58","LYAR","ENSG00000145220"
"820","LYN","P07948","ARHGEF3","ENSG00000163947"
"821","LYPD3","O95274","GCKR","ENSG00000084734"
"822","LYPD8","Q6UX82","KIF17","ENSG00000117245"
"823","MAD1L1","Q9Y6D9","MAD1L1","ENSG00000002822"
"824","MAGED1","Q9Y5V3","ARHGEF3","ENSG00000163947"
"825","MANF","P55145",NA,NA
"826","MANSC1","Q9H8J5","CSF3R","ENSG00000119535"
"827","MAP2K6","P52564","AC004917.1","ENSG00000243797"
"828","MAP3K5","Q99683","ARHGEF3","ENSG00000163947"
"829","MAP4K5","Q9Y4K4","TRIM58","ENSG00000162722"
"830","MAPK9","P45984","GFPT2","ENSG00000131459"
"831","MARCO","Q9UEW3","CELSR2","ENSG00000143126"
"832","MASP1","P48740","MASP2","ENSG00000009724"
"833","MATN2","O00339","TGFBI","ENSG00000120708"
"834","MATN3","O15232","MATN3","ENSG00000132031"
"835","MAVS","Q7Z434","ARHGEF3","ENSG00000163947"
"836","MAX","P61244","IRF1","ENSG00000125347"
"837","MB","P02144","TTN","ENSG00000155657"
"838","MCAM","P43121","GCKR","ENSG00000084734"
"839","MCFD2","Q8NI22","MCFD2","ENSG00000180398"
"840","MDGA1","Q8NFP4","MDGA1","ENSG00000112139"
"841","MDK","P21741","LINC01221","ENSG00000235492"
"842","MED18","Q9BUE0","REEP3","ENSG00000165476"
"843","MEGF10","Q96KG7","CAND2","ENSG00000144712"
"844","MEGF9","Q9H1U4","CELSR2","ENSG00000143126"
"845","MEP1B","Q16820","ZDHHC18","ENSG00000204160"
"846","MEPE","Q9NQ76","GFI1","ENSG00000162676"
"847","MERTK","Q12866","GALNT2","ENSG00000143641"
"848","MESD","Q14696","ARHGEF3","ENSG00000163947"
"849","MET","P08581","PABPC4","ENSG00000090621"
"850","METAP1D","Q6UB28","METAP1D","ENSG00000172878"
"851","METAP2","P50579","ARHGEF3","ENSG00000163947"
"852","MFAP5","Q13361","FNDC3B","ENSG00000075420"
"853","MFGE8","Q08431","DOCK7","ENSG00000116641"
"854","MGLL","Q99685","MGLL","ENSG00000074416"
"855","MGMT","P16455","ARHGEF3","ENSG00000163947"
"856","MIA","Q16674","AC091212.1","ENSG00000239462"
"857","MICB_MICA","Q29980,Q29983","ACOXL","ENSG00000153093"
"858","MIF","P14174","ARHGEF3","ENSG00000163947"
"859","MILR1","Q7Z6M3","ST3GAL3","ENSG00000126091"
"860","MITD1","Q8WV92","MRPL30","ENSG00000185414"
"861","MLN","P12872","PRDM16","ENSG00000142611"
"862","MME","P08473",NA,NA
"863","MMP1","P03956",NA,"ENSG00000288835"
"864","MMP10","P09238","HLA-DRB6","ENSG00000229391"
"865","MMP12","P39900","HLA-B","ENSG00000234745"
"866","MMP13","P45452","MMP13","ENSG00000137745"
"867","MMP3","P08254","MSR1","ENSG00000038945"
"868","MMP7","P09237",NA,"ENSG00000235811"
"869","MMP8","P22894","MADD","ENSG00000110514"
"870","MMP9","P14780","AL139161.2","ENSG00000237845"
"871","MNDA","P41218","MED24","ENSG00000008838"
"872","MOG","Q16653","MOG","ENSG00000204655"
"873","MPHOSPH8","Q99549","ARHGEF3","ENSG00000163947"
"874","MPI","P34949","ARHGEF3","ENSG00000163947"
"875","MPIG6B","O95866","CD36","ENSG00000135218"
"876","MPO","P05164","ABCB10","ENSG00000135776"
"877","MSLN","Q13421","DTNB","ENSG00000138101"
"878","MSMB","P08118","ITIH4","ENSG00000055955"
"879","MSR1","P21757","CTSS","ENSG00000163131"
"880","MSRA","Q9UJ68","ARHGEF3","ENSG00000163947"
"881","MSTN","O14793",NA,NA
"882","MUC13","Q9H3R2","MUC13","ENSG00000173702"
"883","MUC16","Q8WXI7","GAL3ST2","ENSG00000154252"
"884","MVK","Q03426","MVK","ENSG00000110921"
"885","MYO9B","Q13459","MYO9B","ENSG00000099331"
"886","MYOC","Q99972","MYOC","ENSG00000034971"
"887","MZB1","Q8WU39","ARF4","ENSG00000168374"
"888","MZT1","Q08AG7","ARHGEF3","ENSG00000163947"
"889","NAAA","Q02083",NA,NA
"890","NADK","O95544","NADK","ENSG00000008130"
"891","NBL1","P41271","NBL1","ENSG00000158747"
"892","NBN","O60934","ARHGEF3","ENSG00000163947"
"893","NCAM1","P13591","CSF1","ENSG00000184371"
"894","NCAM2","O15394",NA,"ENSG00000248538"
"895","NCAN","O14594",NA,NA
"896","NCF2","P19878","NCF2","ENSG00000116701"
"897","NCK2","O43639","COPZ1","ENSG00000111481"
"898","NCLN","Q969V3","TSBP1","ENSG00000204296"
"899","NCR1","O76036","ZBTB7B","ENSG00000160685"
"900","NCS1","P62166","DHRS9","ENSG00000073737"
"901","NECTIN2","Q92692","NPHS2","ENSG00000116218"
"902","NECTIN4","Q96NY8","NECTIN4","ENSG00000143217"
"903","NEFL","P07196","SH3TC2","ENSG00000169247"
"904","NELL1","Q92832",NA,"ENSG00000271355"
"905","NELL2","Q99435","LTF","ENSG00000012223"
"906","NFASC","O94856","NFASC","ENSG00000163531"
"907","NFATC1","O95644","AC004917.1","ENSG00000243797"
"908","NFATC3","Q12968",NA,NA
"909","NFKBIE","O00221","ARHGEF3","ENSG00000163947"
"910","NID1","P14543","PEAR1","ENSG00000187800"
"911","NID2","Q14112","SERPINE2","ENSG00000135919"
"912","NINJ1","Q92982","HLA-DQB1","ENSG00000179344"
"913","NME3","Q13232","RUNX3","ENSG00000020633"
"914","NMNAT1","Q9HAN9","TMEM274P","ENSG00000283611"
"915","NOMO1","Q15155","MGAT1","ENSG00000131446"
"916","NOS1","P29475","ANO5","ENSG00000171714"
"917","NOS3","P29474","ST3GAL5","ENSG00000115525"
"918","NOTCH1","P46531","GCKR","ENSG00000084734"
"919","NOTCH3","Q9UM47","AL590385.2","ENSG00000273112"
"920","NPDC1","Q9NQX5","SHROOM3","ENSG00000138771"
"921","NPPB","P16860","NPPB","ENSG00000120937"
"922","NPPC","P23582","FSHR","ENSG00000170820"
"923","NPTX1","Q15818","FAAP20","ENSG00000162585"
"924","NPTXR","O95502","HLA-DQA1","ENSG00000196735"
"925","NPY","P01303","DOCK7","ENSG00000116641"
"926","NRCAM","Q92823","Y_RNA","ENSG00000199595"
"927","NRP1","O14786","DOCK7","ENSG00000116641"
"928","NRP2","O60462",NA,"ENSG00000228541"
"929","NRTN","Q99748",NA,NA
"930","NSFL1C","Q9UNZ2","ARHGEF3","ENSG00000163947"
"931","NT5C3A","Q9H0P0","ARHGEF3","ENSG00000163947"
"932","NT5E","P21589",NA,NA
"933","NTF3","P20783","COLEC11","ENSG00000118004"
"934","NTF4","P34130","LINC00393","ENSG00000224853"
"935","NTproBNP","P16860","NPPB","ENSG00000120937"
"936","NTRK2","Q16620","SNX17","ENSG00000115234"
"937","NTRK3","Q16288","EVI5","ENSG00000067208"
"938","NUB1","Q9Y5A7","ARHGEF3","ENSG00000163947"
"939","NUCB2","P80303","HLA-C","ENSG00000204525"
"940","NUDC","Q9Y266","ARHGEF3","ENSG00000163947"
"941","NUDT2","P50583","ARHGEF3","ENSG00000163947"
"942","NUDT5","Q9UKK9","ARHGEF3","ENSG00000163947"
"943","OBP2B","Q9NPH6","MIR34AHG","ENSG00000228526"
"944","ODAM","A1E959","ODAM","ENSG00000109205"
"945","OGFR","Q9NZT2","ZFPM2","ENSG00000169946"
"946","OGN","P20774","SHROOM3","ENSG00000138771"
"947","OLR1","P78380","LTF","ENSG00000012223"
"948","OMD","Q99983","STAB1","ENSG00000010327"
"949","OMG","P23515","C5orf63","ENSG00000164241"
"950","OPTC","Q9UBM4","OPTC","ENSG00000188770"
