"","exposure","id","outcome","nsnp","b","se","pval","what"
"54","CAD","ebi-a-GCST003116","APOM",36,0.00874152480375649,0.0191755433680004,0.648484594332316,"Outliers removed"
"55","CAD","ebi-a-GCST003116","ART3",42,-0.0194135691140045,0.0203306834027974,0.339633256680246,"All"
"56","CAD","ebi-a-GCST003116","ART3",40,-0.0199860037191849,0.0186778765156571,0.284603021717523,"Outliers removed"
"57","CAD","ebi-a-GCST003116","ASAH2",42,-0.0348063680852636,0.0207602872037311,0.0936238319930245,"All"
"58","CAD","ebi-a-GCST003116","ASAH2",38,-0.042950334917291,0.0171219637495193,0.012124719597493,"Outliers removed"
"59","CAD","ebi-a-GCST003116","ASGR1",42,-0.0436433150085169,0.0389740377763699,0.262796948658055,"All"
"60","CAD","ebi-a-GCST003116","ASGR1",39,-0.0109833400747639,0.0198896927782978,0.580802664379732,"Outliers removed"
"61","CAD","ebi-a-GCST003116","BAIAP2",42,0.00435025731605372,0.0155432766133685,0.779569322299395,"All"
"62","CAD","ebi-a-GCST003116","BAIAP2",42,0.00435025731605372,0.0155432766133685,0.779569322299395,"Outliers removed"
"63","CAD","ebi-a-GCST003116","BCAN",42,-0.00515112627278355,0.0212938778377139,0.808852656598612,"All"
"64","CAD","ebi-a-GCST003116","BCAN",40,0.0085186470363508,0.0181850811166363,0.639468882186819,"Outliers removed"
"65","CAD","ebi-a-GCST003116","BID",42,0.0329609541817108,0.0178202258517067,0.0643658449996783,"All"
"66","CAD","ebi-a-GCST003116","BID",40,0.0197504473244483,0.0156530924031658,0.207035126108705,"Outliers removed"
"67","CAD","ebi-a-GCST003116","BSG",2,0.0384948707425169,0.0910351859932686,0.672399556456994,"All"
"68","CAD","ebi-a-GCST003116","BSG",2,0.0384948707425169,0.0910351859932686,0.672399556456994,"Outliers removed"
"69","CAD","ebi-a-GCST003116","BST2",42,-0.00597782289345455,0.0185472687581571,0.747223874098826,"All"
"70","CAD","ebi-a-GCST003116","BST2",40,-0.00854459126285983,0.0156269511361533,0.584526063215622,"Outliers removed"
"71","CAD","ebi-a-GCST003116","BTN2A1",2,0.0630925688127409,0.142604226059889,0.658177155388084,"All"
"72","CAD","ebi-a-GCST003116","BTN2A1",2,0.0630925688127409,0.142604226059889,0.658177155388084,"Outliers removed"
"73","CAD","ebi-a-GCST003116","BTN3A2",42,0.0451639702892081,0.0273328027168154,0.0984586474472961,"All"
"74","CAD","ebi-a-GCST003116","BTN3A2",40,0.0303970086802958,0.0165675024831457,0.0665446772760331,"Outliers removed"
"75","CAD","ebi-a-GCST003116","C19orf12",42,0.0210589030952485,0.0174339075167011,0.227075001184215,"All"
"76","CAD","ebi-a-GCST003116","C19orf12",42,0.0210589030952485,0.0174339075167011,0.227075001184215,"Outliers removed"
"77","CAD","ebi-a-GCST003116","C2",42,-0.00982493029157872,0.0217943781790168,0.652132887453505,"All"
"78","CAD","ebi-a-GCST003116","C2",40,-0.00956361147944009,0.0191591242815593,0.617661413553796,"Outliers removed"
"79","CAD","ebi-a-GCST003116","CA14",42,0.00855320649416202,0.016578604301718,0.605911423907833,"All"
"80","CAD","ebi-a-GCST003116","CA14",42,0.00855320649416202,0.016578604301718,0.605911423907833,"Outliers removed"
"81","CAD","ebi-a-GCST003116","CA5A",42,0.0281415369858266,0.0142042217681393,0.0475678010428454,"All"
"82","CAD","ebi-a-GCST003116","CA5A",41,0.0208345484729246,0.0134436055478745,0.121195802997522,"Outliers removed"
"83","CAD","ebi-a-GCST003116","CA6",42,0.0120721713395509,0.0143164265410598,0.399094707222773,"All"
"84","CAD","ebi-a-GCST003116","CA6",42,0.0120721713395509,0.0143164265410598,0.399094707222773,"Outliers removed"
"85","CAD","ebi-a-GCST003116","CALB2",42,-0.0143195713595789,0.0169257958634313,0.397541272659896,"All"
"86","CAD","ebi-a-GCST003116","CALB2",42,-0.0143195713595789,0.0169257958634313,0.397541272659896,"Outliers removed"
"87","CAD","ebi-a-GCST003116","CCDC80",2,-0.240675232121351,0.287616294929496,0.402709069921521,"All"
"88","CAD","ebi-a-GCST003116","CCL16",42,0.0240894466613865,0.0201899779019148,0.232815005402244,"All"
"89","CAD","ebi-a-GCST003116","CCL16",35,-0.0186386936570193,0.0144019394770654,0.195603454218265,"Outliers removed"
"90","CAD","ebi-a-GCST003116","CCL19",42,0.047359449406731,0.0241755662592817,0.0501151357575018,"All"
"91","CAD","ebi-a-GCST003116","CCL19",40,0.0578786837553285,0.0189689397965765,0.00227902496015098,"Outliers removed"
"92","CAD","ebi-a-GCST003116","CCL20",42,0.0112703627048224,0.0196722869249171,0.566708634701167,"All"
"93","CAD","ebi-a-GCST003116","CCL20",42,0.0112703627048224,0.0196722869249171,0.566708634701167,"Outliers removed"
"94","CAD","ebi-a-GCST003116","CCL21",42,0.0311480010398175,0.0268921773204532,0.246759956095529,"All"
"95","CAD","ebi-a-GCST003116","CCL21",41,0.0124863292592321,0.0176558014161009,0.479437042956145,"Outliers removed"
"96","CAD","ebi-a-GCST003116","CCL22",42,0.0365428715451782,0.024618364560668,0.137709607068438,"All"
"97","CAD","ebi-a-GCST003116","CCL22",41,0.0233070795376262,0.0202433648112285,0.249590682951181,"Outliers removed"
"98","CAD","ebi-a-GCST003116","CCL23",42,0.077827196496011,0.0243467912523615,0.00139052793275626,"All"
"99","CAD","ebi-a-GCST003116","CCL23",35,0.044018930161644,0.0182700084391623,0.0159807593365352,"Outliers removed"
"100","CAD","ebi-a-GCST003116","CCL27",42,0.0643430349038061,0.02850477931907,0.0239910954983972,"All"
"101","CAD","ebi-a-GCST003116","CCL27",37,-0.00424174362711513,0.0164216018766578,0.796173325024394,"Outliers removed"
"102","CAD","ebi-a-GCST003116","CCL3",42,0.0252907797774495,0.026602041358326,0.341752506837186,"All"
"103","CAD","ebi-a-GCST003116","CCL3",41,0.00683350975677646,0.0174446857368221,0.695261829601704,"Outliers removed"
"104","CAD","ebi-a-GCST003116","CCL4",42,0.0287176114985803,0.0215948498805572,0.183572270421037,"All"
"105","CAD","ebi-a-GCST003116","CCL4",41,0.0149272753493011,0.0156613130860815,0.340523948688243,"Outliers removed"
"106","CAD","ebi-a-GCST003116","CCL7",42,0.0364838550475127,0.0159506156190462,0.0221782748266847,"All"
"107","CAD","ebi-a-GCST003116","CCL7",42,0.0364838550475127,0.0159506156190462,0.0221782748266847,"Outliers removed"
"108","CAD","ebi-a-GCST003116","CCN1",42,0.0694340716386143,0.0318853011006111,0.0294343340257438,"All"
"109","CAD","ebi-a-GCST003116","CCN1",34,0.0170889997921924,0.0178846937143169,0.339319960939786,"Outliers removed"
"110","CAD","ebi-a-GCST003116","CCN5",42,0.022244787261949,0.0182747003328852,0.223511020653388,"All"
"111","CAD","ebi-a-GCST003116","CCN5",41,0.0172190879262556,0.0168419438705819,0.306594864657433,"Outliers removed"
"112","CAD","ebi-a-GCST003116","CD163",42,0.022493301131791,0.0299986924735995,0.453369516037514,"All"
"113","CAD","ebi-a-GCST003116","CD163",40,-0.0108583596371288,0.0185631768745647,0.558587519630158,"Outliers removed"
"114","CAD","ebi-a-GCST003116","CD1C",42,-0.00658091910698123,0.0345278902423839,0.848841186213831,"All"
"115","CAD","ebi-a-GCST003116","CD1C",40,-0.03874935294518,0.0168930281872263,0.0218015645894243,"Outliers removed"
"116","CAD","ebi-a-GCST003116","CD200",42,-0.0155998957494731,0.0196427268050446,0.42708961353999,"All"
"117","CAD","ebi-a-GCST003116","CD200",42,-0.0155998957494731,0.0196427268050446,0.42708961353999,"Outliers removed"
"118","CAD","ebi-a-GCST003116","CD22",42,0.0134201215860703,0.0224280653885064,0.549597834693555,"All"
"119","CAD","ebi-a-GCST003116","CD22",41,0.000882178401380519,0.0180583479410632,0.961037595193154,"Outliers removed"
"120","CAD","ebi-a-GCST003116","CD276",42,-0.034665558787087,0.0177634203908719,0.0509959645247588,"All"
"121","CAD","ebi-a-GCST003116","CD276",41,-0.0266291114692064,0.0157742690120666,0.0913851243217212,"Outliers removed"
"122","CAD","ebi-a-GCST003116","CD300LG",42,-0.0413778349799066,0.0219361842929732,0.0592569304122379,"All"
"123","CAD","ebi-a-GCST003116","CD300LG",40,-0.0221762817238229,0.0192340477553689,0.248922662357294,"Outliers removed"
"124","CAD","ebi-a-GCST003116","CD34",42,-0.0367307979516346,0.0197958334792551,0.0635275335670804,"All"
"125","CAD","ebi-a-GCST003116","CD34",41,-0.0280816551282979,0.0177387574550534,0.11340601970794,"Outliers removed"
"126","CAD","ebi-a-GCST003116","CD38",42,0.0358913539710004,0.0214402228091998,0.0941267404193681,"All"
"127","CAD","ebi-a-GCST003116","CD38",41,0.0212795948562182,0.014416192198106,0.139919775618183,"Outliers removed"
"128","CAD","ebi-a-GCST003116","CD4",42,0.0827367933800506,0.034681046093393,0.0170490272023444,"All"
"129","CAD","ebi-a-GCST003116","CD4",35,0.0265255450941447,0.0212541307349321,0.212024338599647,"Outliers removed"
"130","CAD","ebi-a-GCST003116","CD58",42,-0.0428256883686421,0.0205144743989101,0.0368353772119478,"All"
"131","CAD","ebi-a-GCST003116","CD58",40,-0.0404729355777179,0.0176372796718894,0.0217481446575095,"Outliers removed"
"132","CAD","ebi-a-GCST003116","CD63",42,0.035229416274447,0.0176222542482792,0.0455928220676711,"All"
"133","CAD","ebi-a-GCST003116","CD63",42,0.035229416274447,0.0176222542482792,0.0455928220676711,"Outliers removed"
"134","CAD","ebi-a-GCST003116","CD70",42,0.083993200416107,0.0800637152658396,0.29414154158596,"All"
"135","CAD","ebi-a-GCST003116","CD70",33,0.0258339205436696,0.0161403814290978,0.10947067749685,"Outliers removed"
"136","CAD","ebi-a-GCST003116","CD83",42,0.00787001997254201,0.0355997592329802,0.825038340103239,"All"
"137","CAD","ebi-a-GCST003116","CD83",40,-0.0103402449161501,0.0170501393391372,0.544208658348793,"Outliers removed"
"138","CAD","ebi-a-GCST003116","CD8A",42,-0.0171066301731457,0.0258910042730599,0.508793732759067,"All"
"139","CAD","ebi-a-GCST003116","CD8A",41,-0.0350685243901434,0.0171607915527346,0.0410003924072108,"Outliers removed"
"140","CAD","ebi-a-GCST003116","CD93",42,-0.0299581507706709,0.026089883806411,0.250858386830444,"All"
"141","CAD","ebi-a-GCST003116","CD93",37,-0.0181431425553483,0.0188996852966732,0.337070003273724,"Outliers removed"
"142","CAD","ebi-a-GCST003116","CDCP1",42,-0.00287163495439094,0.0205734162351217,0.88899193898726,"All"
"143","CAD","ebi-a-GCST003116","CDCP1",39,-0.00347533679670589,0.0141905564838273,0.806530068646279,"Outliers removed"
"144","CAD","ebi-a-GCST003116","CDH6",42,-0.032059089665466,0.0213001132316106,0.132294878395686,"All"
"145","CAD","ebi-a-GCST003116","CDH6",40,-0.0229727403902707,0.0179138449775955,0.199701863338996,"Outliers removed"
"146","CAD","ebi-a-GCST003116","CDHR2",42,-0.000974577284520455,0.0167534402401177,0.953611806329994,"All"
"147","CAD","ebi-a-GCST003116","CDHR2",41,0.0084451129697386,0.0138320229473892,0.541498903723236,"Outliers removed"
"148","CAD","ebi-a-GCST003116","CDHR5",42,-0.0206487442617862,0.0210103128459394,0.325710361709324,"All"
"149","CAD","ebi-a-GCST003116","CDHR5",41,-0.0121789243296026,0.0194972160713642,0.532201189475218,"Outliers removed"
"150","CAD","ebi-a-GCST003116","CEACAM21",42,0.0089483781579964,0.0157315604310361,0.569480373358704,"All"
