"","method","auc","lor","se","pval","T-,MR-","T-,MR+","T+,MR-","T+,MR+"
"1","Forward MR (cis)",0.524455022075055,0.0392798013245032,0.0262770163219733,0.135473803849577,417,36,141,19
"2","Forward MR (cis + coloc)",NA,0.00587748344370865,0.00828186550899825,0.478172649700782,450,3,158,2
"3","Forward MR (trans)",0.509943181818182,-0.00730519480519509,0.0309127488396928,0.813259470634013,505,55,100,10
"4","Reverse PRS",0.495887367915467,0.00374239513288654,0.0412370878381482,0.927710485809484,499,195,103,41
