"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","fdr"
"1","ebi-a-GCST003116","ACAA1","ACAA1","CAD","Inverse variance weighted",42,0.0697654497522901,0.0178763806682951,9.51409977649417e-05,0.0018109040761022
"2","ebi-a-GCST003116","ACE2","ACE2","CAD","Inverse variance weighted",42,-0.00420082702691034,0.0158090656094665,0.790452807459059,0.904619864255093
"4","ebi-a-GCST003116","ACVRL1","ACVRL1","CAD","Wald ratio",1,-0.146245317714364,0.133040114418034,0.271655849257477,0.570587199859119
"7","ebi-a-GCST003116","ADA2","ADA2","CAD","Inverse variance weighted",2,-0.0561971601681024,0.0902244331858945,0.533376746272407,0.768728409018443
"9","ebi-a-GCST003116","ADAM8","ADAM8","CAD","Wald ratio",1,0.325090240414084,0.135681945106586,0.0165763235336381,0.114625685518938
"10","ebi-a-GCST003116","ADAMTS15","ADAMTS15","CAD","Wald ratio",1,-0.138402233875911,0.143044336988354,0.333270256749531,0.6256085187067
"14","ebi-a-GCST003116","ADH4","ADH4","CAD","Inverse variance weighted",42,0.018368461325785,0.0154117687646049,0.233321473004393,0.532528577784641
"15","ebi-a-GCST003116","ADM","ADM","CAD","Wald ratio",1,-0.024520193420963,0.132827759994552,0.85354167025397,0.932782498730254
"16","ebi-a-GCST003116","AFP","AFP","CAD","Inverse variance weighted",42,-0.015018318458714,0.0167837283827765,0.370886419087046,0.651334589082537
"21","ebi-a-GCST003116","AGXT","AGXT","CAD","Inverse variance weighted",42,0.0195535179778306,0.017426140251897,0.261828560311184,0.560848413595254
"22","ebi-a-GCST003116","AIFM1","AIFM1","CAD","Inverse variance weighted",42,0.0237121983089962,0.0166311031825382,0.153933522214452,0.442059988318957
"23","ebi-a-GCST003116","ALDH1A1","ALDH1A1","CAD","Inverse variance weighted",42,0.0155757155135288,0.0169022430959786,0.356780225197257,0.644154650959035
"24","ebi-a-GCST003116","ALDH3A1","ALDH3A1","CAD","Inverse variance weighted",42,-0.0047104454396803,0.016284682101404,0.772385319291285,0.897883587481102
"30","ebi-a-GCST003116","ANXA10","ANXA10","CAD","Inverse variance weighted",42,0.0211566722992617,0.0178486083054283,0.235882979346112,0.535373528726501
"35","ebi-a-GCST003116","BAIAP2","BAIAP2","CAD","Inverse variance weighted",42,0.00435025731605372,0.0155432766133685,0.779569322299395,0.900139241843015
"36","ebi-a-GCST003116","BCAM","BCAM","CAD","Wald ratio",1,-0.207136143839815,0.133088061022952,0.119616780639362,0.394622927902479
"38","ebi-a-GCST003116","BID","BID","CAD","Inverse variance weighted",42,0.0329609541817108,0.0178202258517067,0.0643658449996783,0.279477158581074
"39","ebi-a-GCST003116","BSG","BSG","CAD","Inverse variance weighted",2,0.0384948707425169,0.0910351859932686,0.672399556456994,0.845581973013666
"40","ebi-a-GCST003116","BST1","BST1","CAD","Wald ratio",1,-0.062335490022475,0.090324593066812,0.490113980027348,0.737769647601787
"42","ebi-a-GCST003116","BTN2A1","BTN2A1","CAD","Inverse variance weighted",2,0.0630925688127409,0.142604226059889,0.658177155388084,0.839717222871879
"44","ebi-a-GCST003116","C19orf12","C19orf12","CAD","Inverse variance weighted",42,0.0210589030952485,0.0174339075167011,0.227075001184215,0.527227008238163
"46","ebi-a-GCST003116","CA14","CA14","CAD","Inverse variance weighted",42,0.00855320649416202,0.016578604301718,0.605911423907833,0.810735457188736
"47","ebi-a-GCST003116","CA4","CA4","CAD","Wald ratio",1,-0.139787509364571,0.138317782469523,0.312195597941688,0.607407582273936
"48","ebi-a-GCST003116","CA5A","CA5A","CAD","Inverse variance weighted",42,0.0281415369858266,0.0142042217681393,0.0475678010428454,0.23205317363647
"49","ebi-a-GCST003116","CA6","CA6","CAD","Inverse variance weighted",42,0.0120721713395509,0.0143164265410598,0.399094707222773,0.673352398153808
"50","ebi-a-GCST003116","CALB2","CALB2","CAD","Inverse variance weighted",42,-0.0143195713595789,0.0169257958634313,0.397541272659896,0.672330697777957
"51","ebi-a-GCST003116","CALCA","CALCA","CAD","Wald ratio",1,0.0821721718994756,0.116470339848805,0.480486595363542,0.732442003930671
"62","ebi-a-GCST003116","CCL7","CCL7","CAD","Inverse variance weighted",42,0.0364838550475127,0.0159506156190462,0.0221782748266847,0.142974756775929
"64","ebi-a-GCST003116","CCN3","CCN3","CAD","Wald ratio",1,0.269004971736021,0.129178914390792,0.0373039700040685,0.200826262294194
"66","ebi-a-GCST003116","CD160","CD160","CAD","Wald ratio",1,0.126270244500443,0.136063202342845,0.353393872966103,0.640305452308702
"71","ebi-a-GCST003116","CD27","CD27","CAD","Wald ratio",1,0.200495811482667,0.137115030988218,0.143673998356987,0.42911143658217
"73","ebi-a-GCST003116","CD28","CD28","CAD","Wald ratio",1,-0.0517038752298577,0.141585507048968,0.714978734827035,0.868586238869278
"74","ebi-a-GCST003116","CD300E","CD300E","CAD","Wald ratio",1,0.284068650820677,0.130910304433699,0.0300107290185583,0.173542990153661
"76","ebi-a-GCST003116","CD302","CD302","CAD","Wald ratio",1,0.0846551794592386,0.133291697881904,0.525355260442663,0.763712985908316
"80","ebi-a-GCST003116","CD48","CD48","CAD","Wald ratio",1,0.15417557719812,0.124718109378192,0.216387060263618,0.516420644065538
"81","ebi-a-GCST003116","CD5","CD5","CAD","Wald ratio",1,0.225586051896751,0.138504392835252,0.103370506810059,0.362086959287886
"82","ebi-a-GCST003116","CD55","CD55","CAD","Wald ratio",1,-0.12113830652115,0.120875194008524,0.316258245079038,0.610866888929755
"84","ebi-a-GCST003116","CD59","CD59","CAD","Wald ratio",1,0.127608118231969,0.132835796499353,0.336730412132596,0.628075345939364
"85","ebi-a-GCST003116","CD6","CD6","CAD","Wald ratio",1,-0.0556879384322005,0.115244977184499,0.628944091338002,0.825535580067746
"86","ebi-a-GCST003116","CD63","CD63","CAD","Inverse variance weighted",42,0.035229416274447,0.0176222542482792,0.0455928220676711,0.226551943283162
"95","ebi-a-GCST003116","CDON","CDON","CAD","Wald ratio",1,0.0425478444459579,0.138110740311925,0.758028689941467,0.88803068934307
"96","ebi-a-GCST003116","CDSN","CDSN","CAD","Wald ratio",1,0.0735560838609544,0.122954349486339,0.549680489664181,0.774907343576294
"98","ebi-a-GCST003116","CELA3A","CELA3A","CAD","Wald ratio",1,0.0919418097607844,0.12000677490084,0.443593900761962,0.70760788431205
"100","ebi-a-GCST003116","CES2","CES2","CAD","Inverse variance weighted",42,-0.0203676701903719,0.0152171673573962,0.180744382472583,0.47261366513817
"102","ebi-a-GCST003116","CHI3L1","CHI3L1","CAD","Inverse variance weighted",42,-0.00143805353690136,0.0158065698501086,0.927509899828358,0.966575415348736
"105","ebi-a-GCST003116","CLEC4C","CLEC4C","CAD","Wald ratio",1,0.280118504392835,0.113367023087925,0.0134773742673476,0.0984591317580341
"106","ebi-a-GCST003116","CLEC4D","CLEC4D","CAD","Wald ratio",1,0.0776203773070898,0.129977933664782,0.550386415145251,0.775318545168235
"109","ebi-a-GCST003116","CLEC6A","CLEC6A","CAD","Wald ratio",1,0.0373196213307907,0.132575086835115,0.778328464540005,0.899982357576633
"110","ebi-a-GCST003116","CLMP","CLMP","CAD","Wald ratio",1,-0.255261018452366,0.112428617181149,0.0231816606435675,0.147245502843474
"119","ebi-a-GCST003116","COL6A3","COL6A3","CAD","Wald ratio",1,0.120925015323844,0.138759109173875,0.383495162487781,0.660888536701986
"120","ebi-a-GCST003116","COLEC12","COLEC12","CAD","Wald ratio",1,-0.0439288973642989,0.130104883198256,0.735632846257904,0.878472656686119
"126","ebi-a-GCST003116","CPVL","CPVL","CAD","Wald ratio",1,-0.146530018969722,0.104891232046513,0.162422264343614,0.45238145550069
"127","ebi-a-GCST003116","CR2","CR2","CAD","Inverse variance weighted",2,0.00108872148047372,0.122750259852054,0.992923333341728,0.996828985645235
"133","ebi-a-GCST003116","CST7","CST7","CAD","Wald ratio",1,0.185799904651638,0.110620581625009,0.09303239435779,0.345716012123753
"136","ebi-a-GCST003116","CTSC","CTSC","CAD","Wald ratio",1,-0.2,0.103079746741889,0.052349878677272,0.247012242666287
"142","ebi-a-GCST003116","CTSZ","CTSZ","CAD","Wald ratio",1,-0.323646867532212,0.118959621590993,0.00651547433422024,0.0560874130446503
