"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","fdr"
"153","ebi-a-GCST003116","DDAH1","DDAH1","CAD","Inverse variance weighted",42,0.012729337967916,0.017270276549685,0.461082062286309,0.718583813351933
"155","ebi-a-GCST003116","DKKL1","DKKL1","CAD","Wald ratio",1,-0.0362005039841994,0.0693551726486413,0.601699405342072,0.808648266438851
"156","ebi-a-GCST003116","DLK1","DLK1","CAD","Wald ratio",1,0.110246952257713,0.129906694817135,0.396069067602023,0.671678590934872
"157","ebi-a-GCST003116","DLL1","DLL1","CAD","Wald ratio",1,0.201900156643738,0.136423074303616,0.138884971182154,0.422677026118047
"158","ebi-a-GCST003116","DPT","DPT","CAD","Wald ratio",1,-0.0280095348362051,0.124653544915889,0.822213393002672,0.918569081120176
"163","ebi-a-GCST003116","EFNA1","EFNA1","CAD","Wald ratio",1,-0.0895341551454063,0.138705986515017,0.51860582981829,0.758370872364444
"165","ebi-a-GCST003116","EGFL7","EGFL7","CAD","Wald ratio",1,-0.172342164407819,0.138857181774842,0.214551476754213,0.515985609894308
"166","ebi-a-GCST003116","EGLN1","EGLN1","CAD","Inverse variance weighted",42,0.0238863836300381,0.01810147074781,0.18697445608273,0.481125108720511
"170","ebi-a-GCST003116","EPHA1","EPHA1","CAD","Wald ratio",1,0.137936389021317,0.133310495130423,0.300808966985578,0.597533530526892
"171","ebi-a-GCST003116","EPHA2","EPHA2","CAD","Wald ratio",1,0.0301618585400705,0.120947007957429,0.803066255045509,0.909542223721033
"174","ebi-a-GCST003116","ERBB3","ERBB3","CAD","Wald ratio",1,0.241919390998004,0.116967308023946,0.0386151096868026,0.205325606904732
"180","ebi-a-GCST003116","F9","F9","CAD","Inverse variance weighted",42,0.00498230095523111,0.0185065678082425,0.787761938482917,0.903710168271846
"181","ebi-a-GCST003116","FABP1","FABP1","CAD","Inverse variance weighted",42,0.0123427293220721,0.0151095411924676,0.413995218678056,0.686527806520167
"183","ebi-a-GCST003116","FAS","FAS","CAD","Inverse variance weighted",2,0.113227999284956,0.0859965496338832,0.187953466326314,0.48123972340276
"184","ebi-a-GCST003116","FASLG","FASLG","CAD","Wald ratio",1,0.101000749165702,0.127578560239733,0.428550237389436,0.696506613777809
"186","ebi-a-GCST003116","FCER2","FCER2","CAD","Wald ratio",1,0.218892596880746,0.135637676224205,0.10656999075404,0.368467055470402
"187","ebi-a-GCST003116","FCN2","FCN2","CAD","Inverse variance weighted",42,-0.0249144785724595,0.0147633129849024,0.0914891897245761,0.341776366152156
"188","ebi-a-GCST003116","FCRL1","FCRL1","CAD","Inverse variance weighted",2,0.201042918797922,0.0893236734915697,0.0244030357006297,0.151239564524322
"189","ebi-a-GCST003116","FCRL2","FCRL2","CAD","Wald ratio",1,0.0476641013416877,0.122812231832732,0.697937969774792,0.858918133227459
"190","ebi-a-GCST003116","FCRL3","FCRL3","CAD","Wald ratio",1,0.0824311108084179,0.106661990056528,0.439625632060932,0.705688371647266
"191","ebi-a-GCST003116","FCRL5","FCRL5","CAD","Wald ratio",1,-0.0904319280800926,0.128110331676088,0.480255934883149,0.732383779024683
"194","ebi-a-GCST003116","FGFR2","FGFR2","CAD","Wald ratio",1,0.00118832527412654,0.133831642035006,0.992915472631589,0.996828985645235
"196","ebi-a-GCST003116","FLT3LG","FLT3LG","CAD","Wald ratio",1,-0.122990933950876,0.117472838806632,0.295111860371276,0.591411776927895
"200","ebi-a-GCST003116","FOLR2","FOLR2","CAD","Wald ratio",1,-0.131856815550245,0.11986314700303,0.271305391449913,0.570587199859119
"201","ebi-a-GCST003116","FOLR3","FOLR3","CAD","Wald ratio",1,-0.12254613091572,0.0968550910300313,0.205780884111096,0.504347299992931
"202","ebi-a-GCST003116","FSTL3","FSTL3","CAD","Inverse variance weighted",2,0.0356409814596348,0.0904600078506775,0.693583174579806,0.857623766849947
"207","ebi-a-GCST003116","GDF15","GDF15","CAD","Inverse variance weighted",42,0.00203328369977118,0.013145452866655,0.877076893493816,0.944130327531905
"208","ebi-a-GCST003116","GFRA1","GFRA1","CAD","Wald ratio",1,0.25263638221072,0.133947149765034,0.0592828251204011,0.264604978577943
"210","ebi-a-GCST003116","GGT1","GGT1","CAD","Inverse variance weighted",42,0.00225138803260711,0.0161798779925394,0.889333668949732,0.949932759096674
"211","ebi-a-GCST003116","GLO1","GLO1","CAD","Inverse variance weighted",42,0.0381982768895239,0.0157758734084434,0.0154646914812172,0.108906310923551
"217","ebi-a-GCST003116","GRPEL1","GRPEL1","CAD","Inverse variance weighted",42,0.0384371141518733,0.0173582728763295,0.0268054140431168,0.161667454191301
"218","ebi-a-GCST003116","GSTA1","GSTA1","CAD","Inverse variance weighted",42,-0.0158021795084536,0.0174159843467276,0.364228233658193,0.649251279997065
"219","ebi-a-GCST003116","GSTA3","GSTA3","CAD","Inverse variance weighted",42,-0.0174194937394542,0.017274700342643,0.31327119806781,0.607506012095868
"223","ebi-a-GCST003116","HAVCR1","HAVCR1","CAD","Inverse variance weighted",42,-0.0195430048001926,0.0149230122334559,0.190335090109494,0.484905413323417
"224","ebi-a-GCST003116","HAVCR2","HAVCR2","CAD","Wald ratio",1,0.205436218756385,0.138522100388204,0.138059174955244,0.421993613159334
"230","ebi-a-GCST003116","HSPG2","HSPG2","CAD","Wald ratio",1,0.22935231219778,0.138422665667779,0.0975399902690182,0.353346480877766
"231","ebi-a-GCST003116","HYAL1","HYAL1","CAD","Inverse variance weighted",42,0.0321117565237508,0.0168503449022125,0.0566887214139557,0.258366210015715
"233","ebi-a-GCST003116","ICAM3","ICAM3","CAD","Wald ratio",1,-0.0978691003200981,0.134756248723013,0.467674724152778,0.723015852455355
"239","ebi-a-GCST003116","IFNLR1","IFNLR1","CAD","Inverse variance weighted",42,0.00741208922501849,0.0167681071932217,0.658463923829899,0.839717222871879
"243","ebi-a-GCST003116","IGFBP7","IGFBP7","CAD","Wald ratio",1,-0.0588743444800109,0.129781788462848,0.650087215427836,0.835785368777138
"245","ebi-a-GCST003116","IL10","IL10","CAD","Inverse variance weighted",42,0.0357162241447413,0.0162649571429032,0.0280990808147359,0.167135952091888
"246","ebi-a-GCST003116","IL10RB","IL10RB","CAD","Wald ratio",1,0.0578303072109581,0.11355411298071,0.610559254708898,0.813934049190519
"253","ebi-a-GCST003116","IL18BP","IL18BP","CAD","Wald ratio",1,0.354379895116802,0.136737723898386,0.00955096379151714,0.0755333263230545
"255","ebi-a-GCST003116","IL1R1","IL1R1","CAD","Wald ratio",1,0.0854663595378286,0.12115838486364,0.480555003113195,0.732442003930671
"256","ebi-a-GCST003116","IL1RAP","IL1RAP","CAD","Inverse variance weighted",42,-0.00436269630652228,0.0109812018250648,0.691155323977411,0.856318875581015
"258","ebi-a-GCST003116","IL2RA","IL2RA","CAD","Inverse variance weighted",2,0.109022021145451,0.0844079194057121,0.196492615359478,0.491888557843721
"259","ebi-a-GCST003116","IL4R","IL4R","CAD","Wald ratio",1,-0.172167475548767,0.120385799807839,0.152679397506387,0.440788574396072
"262","ebi-a-GCST003116","IL7R","IL7R","CAD","Inverse variance weighted",42,-0.013583289061994,0.0143152472634553,0.342687431022838,0.62984940268191
"263","ebi-a-GCST003116","INHBC","INHBC","CAD","Inverse variance weighted",42,-0.0214059214068534,0.017189793178212,0.213032783156411,0.514515318454111
"269","ebi-a-GCST003116","ITGB2","ITGB2","CAD","Wald ratio",1,-0.0969745964721106,0.137252605053463,0.479851748532151,0.731966196144534
"272","ebi-a-GCST003116","KIT","KIT","CAD","Inverse variance weighted",42,-0.03734294279355,0.0170327204767462,0.0283489152601008,0.167327487941766
"274","ebi-a-GCST003116","KLK10","KLK10","CAD","Wald ratio",1,-0.19510590478785,0.128408363413471,0.128657458820531,0.409066608877283
"275","ebi-a-GCST003116","KLK11","KLK11","CAD","Wald ratio",1,-0.0900657903698154,0.136088810188654,0.508088970057645,0.750373373717431
"277","ebi-a-GCST003116","KLK8","KLK8","CAD","Wald ratio",1,0.187773615746101,0.130400054484778,0.14987274231624,0.437503831728156
"287","ebi-a-GCST003116","LGALS1","LGALS1","CAD","Inverse variance weighted",42,-0.00807430312793389,0.0179962221771242,0.653672209729949,0.836560926910599
"289","ebi-a-GCST003116","LGALS7_LGALS7B","LGALS7_LGALS7B","CAD","Wald ratio",1,0.192729006333856,0.133019682626166,0.147372255260592,0.433666244026542
"292","ebi-a-GCST003116","LIF","LIF","CAD","Inverse variance weighted",42,0.013569949889973,0.0157964294890653,0.390311983307096,0.665937947818092
"293","ebi-a-GCST003116","LILRA2","LILRA2","CAD","Wald ratio",1,0.183093373288837,0.12270557787918,0.135663574762934,0.418314647058691
"294","ebi-a-GCST003116","LILRA5","LILRA5","CAD","Wald ratio",1,0.232060205680038,0.135152216849418,0.0859739681455404,0.329747438142316
"297","ebi-a-GCST003116","LILRB4","LILRB4","CAD","Wald ratio",1,0.150168756620926,0.12013475893671,0.211298610940227,0.511617809585759
"299","ebi-a-GCST003116","LPO","LPO","CAD","Wald ratio",1,-0.0235932842255672,0.123640708531448,0.848665578206485,0.92982207794508
"300","ebi-a-GCST003116","LRPAP1","LRPAP1","CAD","Wald ratio",1,0.0365350693503486,0.122422211820354,0.765371200680103,0.89142486866185
"301","ebi-a-GCST003116","LRRC25","LRRC25","CAD","Wald ratio",1,-0.0530852005720902,0.131911462235238,0.687367200143757,0.85319390332138
"305","ebi-a-GCST003116","LY6D","LY6D","CAD","Wald ratio",1,0.122622352380304,0.133531975754274,0.358462066212609,0.646152328020482
"306","ebi-a-GCST003116","LY9","LY9","CAD","Wald ratio",1,-0.0954300892188245,0.132666348838793,0.47194130938467,0.725654093631109
"310","ebi-a-GCST003116","MATN2","MATN2","CAD","Wald ratio",1,0.19881359395219,0.131588639923721,0.130821061367942,0.41105778376105
"317","ebi-a-GCST003116","MICB_MICA","MICB_MICA","CAD","Wald ratio",1,0.00676960409943091,0.127501170210145,0.957656656020691,0.982144680101586
"318","ebi-a-GCST003116","MME","MME","CAD","Inverse variance weighted",42,-0.00154229507370612,0.0150003230962933,0.918107850076626,0.962817519739738
"321","ebi-a-GCST003116","MMP8","MMP8","CAD","Wald ratio",1,0.199902687787933,0.117493409869183,0.0888688592065466,0.336252455825309
"322","ebi-a-GCST003116","MMP9","MMP9","CAD","Inverse variance weighted",2,0.0659551378553209,0.0921862524021109,0.474327785822196,0.72729396979564
"323","ebi-a-GCST003116","MPO","MPO","CAD","Wald ratio",1,0.255803309950283,0.138932098345025,0.0655906416501465,0.280543179864738
"326","ebi-a-GCST003116","MYO9B","MYO9B","CAD","Wald ratio",1,0.114215712842748,0.125598038974157,0.363152229737811,0.648752363214294
"327","ebi-a-GCST003116","MZB1","MZB1","CAD","Wald ratio",1,-0.0532001634543349,0.14015391949874,0.704254355718892,0.86178617846749
"328","ebi-a-GCST003116","NCAM2","NCAM2","CAD","Inverse variance weighted",42,-0.0154704758464313,0.0163108603715598,0.342886678371454,0.630009391052263
"329","ebi-a-GCST003116","NCR1","NCR1","CAD","Wald ratio",1,0.0895040523053872,0.137936389021317,0.516416466892929,0.756330335738836
"332","ebi-a-GCST003116","NFASC","NFASC","CAD","Wald ratio",1,-0.186072328543213,0.127785057549547,0.145355230760831,0.431985144892898
"338","ebi-a-GCST003116","NPTX1","NPTX1","CAD","Wald ratio",1,0.182776970264344,0.111443300238969,0.100986589690102,0.358447527357441
"343","ebi-a-GCST003116","NTproBNP","NTproBNP","CAD","Wald ratio",1,0.0492635020091262,0.129911189811346,0.704532613728348,0.86178617846749
"345","ebi-a-GCST003116","OBP2B","OBP2B","CAD","Wald ratio",1,0.0166092237195437,0.088056588899017,0.85039074616185,0.930425572817379
"346","ebi-a-GCST003116","OSCAR","OSCAR","CAD","Wald ratio",1,0.143225498876251,0.122340938500307,0.241716222870268,0.542460668032195
"348","ebi-a-GCST003116","OXT","OXT","CAD","Inverse variance weighted",42,-0.00929513450276819,0.0147419564287331,0.528352818469413,0.764810795490011
"349","ebi-a-GCST003116","P4HB","P4HB","CAD","Inverse variance weighted",42,0.0159164981956209,0.016662673598635,0.33946708732096,0.628988618533042
"353","ebi-a-GCST003116","PBLD","PBLD","CAD","Inverse variance weighted",42,0.0240719748896226,0.0158601394483029,0.129073486907168,0.409581034056624
"356","ebi-a-GCST003116","PDCD1","PDCD1","CAD","Wald ratio",1,0.112049581148267,0.138003132874753,0.416828898878876,0.688340888381775
"360","ebi-a-GCST003116","PIGR","PIGR","CAD","Inverse variance weighted",42,-0.0196405785059151,0.0187873922091298,0.295832267310838,0.59234284626272
"361","ebi-a-GCST003116","PILRA","PILRA","CAD","Wald ratio",1,0.0505784921337601,0.141289927126609,0.720360801865939,0.871541888058014
"362","ebi-a-GCST003116","PILRB","PILRB","CAD","Wald ratio",1,0.167597902336035,0.142461349860383,0.239417211736811,0.539024716881392
"364","ebi-a-GCST003116","PLA2G15","PLA2G15","CAD","Wald ratio",1,-0.32766499963046,0.121177231405977,0.00685072845975545,0.057844872633875
"366","ebi-a-GCST003116","PLAT","PLAT","CAD","Inverse variance weighted",42,-0.00655188844694821,0.0167192242215189,0.69514869940948,0.858099682132822
"367","ebi-a-GCST003116","PLAUR","PLAUR","CAD","Wald ratio",1,0.0384614860723285,0.13673499965947,0.778491917007124,0.899986023058472
"368","ebi-a-GCST003116","PLIN1","PLIN1","CAD","Wald ratio",1,-0.0936830348021522,0.143075665735885,0.512609632501033,0.753744359833296
"374","ebi-a-GCST003116","PRDX1","PRDX1","CAD","Wald ratio",1,0.276493904515426,0.143049785466185,0.0532545697031301,0.248924020104882
"378","ebi-a-GCST003116","PRSS27","PRSS27","CAD","Inverse variance weighted",42,-0.00084566921640419,0.0168453937549324,0.959961571107449,0.983367860871416
"380","ebi-a-GCST003116","PRTN3","PRTN3","CAD","Wald ratio",1,0.26989715998093,0.134306476878022,0.044477591994398,0.223582523767721
"384","ebi-a-GCST003116","PTS","PTS","CAD","Inverse variance weighted",42,0.00245248484827231,0.0185691439693845,0.894926453852799,0.951346466941209
"386","ebi-a-GCST003116","QDPR","QDPR","CAD","Inverse variance weighted",42,0.022845085368512,0.0180916077273984,0.206680872679698,0.505270478267318
"387","ebi-a-GCST003116","QPCT","QPCT","CAD","Wald ratio",1,0.104243274535177,0.138354559694885,0.451179409573061,0.714074337068985
"389","ebi-a-GCST003116","RBKS","RBKS","CAD","Inverse variance weighted",42,0.0204737624548785,0.0162795555314598,0.208523264196666,0.508434367019146
"390","ebi-a-GCST003116","RBP2","RBP2","CAD","Wald ratio",1,0.0217590106181173,0.125474858958883,0.862326563709089,0.937456661224886
"392","ebi-a-GCST003116","REG4","REG4","CAD","Inverse variance weighted",42,0.0410760373406023,0.0169676423635107,0.0154844651865193,0.108906310923551
"393","ebi-a-GCST003116","RELT","RELT","CAD","Wald ratio",1,0.0748404277055098,0.124136893005517,0.546584354111704,0.774235910276795
"395","ebi-a-GCST003116","RET","RET","CAD","Inverse variance weighted",42,-0.0344667432086852,0.0173041536331831,0.0463909130313577,0.228696204276623
"397","ebi-a-GCST003116","RNASET2","RNASET2","CAD","Inverse variance weighted",2,-0.0682437686544218,0.089372610363309,0.445113363871957,0.709024549827245
"398","ebi-a-GCST003116","ROBO2","ROBO2","CAD","Wald ratio",1,-0.20701082884969,0.132609412245454,0.118510342393772,0.392587358431287
"403","ebi-a-GCST003116","SCARA5","SCARA5","CAD","Wald ratio",1,-0.126762105836682,0.12858108016073,0.324205015885866,0.619645886129691
"406","ebi-a-GCST003116","SCGB3A2","SCGB3A2","CAD","Inverse variance weighted",42,-0.00859056981320457,0.0159483237354962,0.590128153734288,0.801199033484253
"408","ebi-a-GCST003116","SELPLG","SELPLG","CAD","Inverse variance weighted",42,-0.0015692165003268,0.0171859338535193,0.927247711111529,0.966575415348736
"411","ebi-a-GCST003116","SFRP1","SFRP1","CAD","Wald ratio",1,-0.0945960634747667,0.13504706122727,0.483635458985858,0.73517315685715
"412","ebi-a-GCST003116","SFTPD","SFTPD","CAD","Wald ratio",1,0.0620211376906211,0.0990212115986302,0.531090683494942,0.767191712843863
"415","ebi-a-GCST003116","SIGLEC6","SIGLEC6","CAD","Wald ratio",1,-0.0978551895740435,0.112308393486241,0.383586062531037,0.660888536701986
"416","ebi-a-GCST003116","SIGLEC7","SIGLEC7","CAD","Wald ratio",1,0.0488461486072329,0.135100320098073,0.717684860949631,0.870327090386361
"417","ebi-a-GCST003116","SIRPB1","SIRPB1","CAD","Wald ratio",1,0.165210106926377,0.114138799972758,0.147771173596405,0.434416303530792
"421","ebi-a-GCST003116","SLIT2","SLIT2","CAD","Inverse variance weighted",42,-0.0127847471272856,0.0174870787828413,0.464720036181521,0.720614998144825
"424","ebi-a-GCST003116","SMOC2","SMOC2","CAD","Wald ratio",1,0.244646189470817,0.12506190832936,0.0504415190657344,0.241020773670234
"425","ebi-a-GCST003116","SORD","SORD","CAD","Inverse variance weighted",42,0.00332749145021357,0.0175188772737336,0.84935812007455,0.93000937624829
"428","ebi-a-GCST003116","SPINK6","SPINK6","CAD","Wald ratio",1,-0.0995149492610502,0.133226588571818,0.455087630854647,0.716204998941369
"432","ebi-a-GCST003116","SULT2A1","SULT2A1","CAD","Inverse variance weighted",42,0.0147128002321466,0.0180403185529262,0.414756971726531,0.687352700917662
"434","ebi-a-GCST003116","TAFA5","TAFA5","CAD","Wald ratio",1,0.0504813730164135,0.139733024586256,0.717897493723765,0.870327090386361
"435","ebi-a-GCST003116","TCN2","TCN2","CAD","Inverse variance weighted",42,-0.00880425197375897,0.0138111942288515,0.523817331127938,0.7627494362424
"436","ebi-a-GCST003116","TFF1","TFF1","CAD","Inverse variance weighted",42,0.0205061970597275,0.0167063654112711,0.219654204273741,0.519527530327319
"437","ebi-a-GCST003116","TFF2","TFF2","CAD","Inverse variance weighted",42,4.88070946660877e-05,0.0162089506128434,0.997597477506443,0.99884269547052
"439","ebi-a-GCST003116","TFPI2","TFPI2","CAD","Wald ratio",1,0.165975618061704,0.135043928352517,0.219053398936833,0.518543353722731
"441","ebi-a-GCST003116","TGFBI","TGFBI","CAD","Wald ratio",1,-0.00491478406543322,0.111542706511296,0.964855059198479,0.984989623092189
"442","ebi-a-GCST003116","TGFBR2","TGFBR2","CAD","Wald ratio",1,-0.106272203197753,0.119396787465202,0.373425131962701,0.653522627366291
"445","ebi-a-GCST003116","THY1","THY1","CAD","Wald ratio",1,0.101746100933052,0.13704283865695,0.457820722085941,0.71800409435517
"446","ebi-a-GCST003116","TIE1","TIE1","CAD","Wald ratio",1,-0.0598436286862358,0.133211060409998,0.653259120514601,0.836560926910599
"454","ebi-a-GCST003116","TNFRSF13B","TNFRSF13B","CAD","Wald ratio",1,0.0704113600762787,0.139727576108425,0.614318400659303,0.816425519456092
"455","ebi-a-GCST003116","TNFRSF1A","TNFRSF1A","CAD","Wald ratio",1,0.103241980521692,0.137188585438943,0.451717259761224,0.714649142293903
"456","ebi-a-GCST003116","TNFRSF1B","TNFRSF1B","CAD","Wald ratio",1,0.171267452155554,0.138353197575427,0.215753064945684,0.516420644065538
"457","ebi-a-GCST003116","TNFRSF21","TNFRSF21","CAD","Wald ratio",1,0.134600034490404,0.123075312261339,0.274113076971758,0.573024917050045
"458","ebi-a-GCST003116","TNFRSF4","TNFRSF4","CAD","Inverse variance weighted",2,0.124260999001399,0.0915999021303564,0.174920240377306,0.468328538573451
"460","ebi-a-GCST003116","TNFRSF8","TNFRSF8","CAD","Wald ratio",1,0.0477231405976694,0.123506442314799,0.699198943518605,0.859784097875136
